instance_index,feasible,candidates,feasible_candidates,pgm_failed_batch_points,pgm_failed_candidates,native_pgm_wrong_branch_points,native_pgm_wrong_branch_candidates,fixed_pv_fallback_points,fixed_pv_fallback_candidates,final_failed_batch_points,final_failed_candidates,best_candidate_index,best_feasible_candidate_index,best_all_candidate_index,cost_available,feasible_cost,all_cost,best_cost,generation_seconds,pgm_batch_seconds,pgm_prepare_seconds,pgm_power_flow_seconds,pgm_extract_seconds,fixed_pv_newton_seconds,constraint_evaluation_seconds,total_seconds,batch_points,pv_iterations,max_batch_pv_voltage_error_pu,maximum_violation,max_pf_residual_mva,violation_pg,violation_qg,violation_voltage,violation_angle,violation_thermal,violation_ramp
2094,1,20,20,8,4,2,2,10,4,0,0,10,10,10,1,1659966.8526097839,1659966.8526097839,1659966.8526097839,0.015916500007733703,3.885316799976863,2.996282499982044,0.34021819999907166,0.5487865000031888,2.9448072999948636,0.5939609000342898,4.4951942000188865,6020,5,2.8905766669140576e-11,1.990507943657366e-08,4.154807324920329e-11,0.0,0.0,1.990507943657366e-08,0.0,0.0,0.0
337,1,20,20,38,3,1,1,39,3,0,0,9,9,9,1,1669753.4834683093,1669753.4834683093,1669753.4834683093,0.010218899988103658,2.8197282000328414,1.958746800024528,0.32468199997674674,0.5362783999880776,1.9077169999945909,0.5975071999710053,3.4274542999919504,6020,5,2.605982096781645e-11,1.9910318764064035e-08,4.311977018532414e-11,0.0,0.0,1.9910318764064035e-08,0.0,0.0,0.0
2130,1,20,19,158,3,30,3,188,3,0,0,2,2,2,1,1645461.2013106272,1645461.2013106272,1645461.2013106272,0.010338100022636354,2.8860824999865144,1.9577707999851555,0.36639400001149625,0.5618908000178635,1.9061613000230864,0.6026722000096925,3.4990928000188433,6020,5,2.622091432868956e-11,2.243939567492248e-07,4.048617997472166e-11,0.0,0.0,1.988511115028992e-08,0.0,0.0,2.243939567492248e-07
3070,1,20,20,147,7,31,3,178,7,0,0,15,15,15,1,1655801.7278969437,1655801.7278969437,1655801.7278969437,0.009608499996829778,2.8833081999910064,1.9505369999678805,0.3818163000396453,0.5509321999852546,1.8990758000290953,0.637542000040412,3.530458700028248,6020,5,2.0275114920309534e-11,1.9915747754654452e-08,4.649528448120913e-11,0.0,0.0,1.9915747754654452e-08,0.0,0.0,0.0
2527,1,20,19,13,3,3,2,16,4,0,0,19,19,14,1,1677590.6049766245,1677590.6049766245,1677590.6049766245,0.0090036999899894,2.854691099957563,1.9610276999883354,0.33740039996337146,0.5562410999555141,1.9091070999857038,0.6036434000707231,3.4673382000182755,6020,5,3.0837443709685886e-11,1.991938558543181e-08,3.775644228783869e-11,0.0,0.0,1.991938558543181e-08,0.0,0.0,0.0
1936,1,20,20,0,0,0,0,0,0,0,0,3,3,3,1,1454141.1780133392,1454141.1780133392,1454141.1780133392,0.008699800004251301,2.7971901999553666,1.9503509999485686,0.29040850000455976,0.5563884999719448,1.8983193999738432,0.6377159000840038,3.4436059000436217,6020,5,1.7766677018471455e-11,2.243939567492248e-07,2.8965806115511055e-11,0.0,0.0,1.9905352366400547e-08,0.0,0.0,2.243939567492248e-07
2921,1,20,20,7,2,2,1,9,2,0,0,18,18,18,1,1644788.1514661566,1644788.1514661566,1644788.1514661566,0.020543099963106215,2.8677592999883927,1.9751791000016965,0.3262614999548532,0.5663039999781176,1.9231500999885611,0.5999029000522569,3.488205300003756,6020,5,2.1906254588088814e-11,1.121969783746124e-07,4.128509503756578e-11,0.0,0.0,1.9913066566049982e-08,0.0,0.0,1.121969783746124e-07
3074,1,20,20,0,0,0,0,0,0,0,0,17,17,17,1,1526901.6375144396,1526901.6375144396,1526901.6375144396,0.011897399963345379,2.81677730003139,1.9515054000075907,0.3043331000371836,0.5608909000293352,1.900998700002674,0.6416971999569796,3.470371899951715,6020,5,2.8521740524922734e-11,9.536743172944284e-08,4.607760970084644e-11,0.0,0.0,1.99017043585788e-08,0.0,0.0,9.536743172944284e-08
4098,1,20,20,0,0,0,0,0,0,0,0,5,5,5,1,1682160.3626678104,1682160.3626678104,1682160.3626678104,0.008193099987693131,2.8157314999843948,1.9527965000015683,0.3189187999814749,0.5439760999870487,1.9009059999953024,0.641679499996826,3.465604099968914,6020,5,3.028377548730532e-11,1.9908870848202754e-08,4.1449565450658225e-11,0.0,0.0,1.9908870848202754e-08,0.0,0.0,0.0
3846,1,20,20,41,5,34,4,75,5,0,0,7,7,7,1,1539907.0164115299,1539907.0164115299,1539907.0164115299,0.010784200043417513,2.836169999965932,1.960756499960553,0.3331579000223428,0.5422407999867573,1.9096887000487186,0.6153481000219472,3.462302300031297,6020,5,3.686084770748721e-11,1.9887970899764185e-08,3.9997531573153725e-11,0.0,0.0,1.9887970899764185e-08,0.0,0.0,0.0
